구,치킨집수,인구밀도,월_평균_소득_금액
구로구,601,20472,3010435
마포구,538,15626,3845721
영등포구,502,16177,3622527
관악구,487,16762,2791075
노원구,481,14010,3210567
중랑구,471,20832,2610634
광진구,468,20433,3208584
강동구,448,19580,3303781
금천구,394,18364,2647031
송파구,388,19374,4010957
은평구,377,15663,2923780
성북구,374,17700,3293411
양천구,374,24953,3812603
동대문구,373,25226,3038756
강남구,359,14259,4964952
강서구,350,13563,3171067
강북구,332,12258,2558950
서초구,321,8795,4937232
도봉구,310,14819,2799629
동작구,302,23684,3470582
중구,269,13174,3524433
서대문구,264,18073,3423302
성동구,251,16723,3745891
종로구,222,6256,3736898
용산구,191,9932,3984684
